"""Wir zählen, weil jeder zählt.""";4/27/24;5/3/24;5/10/24;5/17/24;5/24/24;5/31/24;6/7/24;6/14/24;6/21/24;;;;;
Besucher gesamt;4;4;7;4;0;0;;;;;;;;
     Jugendliche;2;3;3;2;;;;;;;;;;
     Mitarbeiter;2;1;4;2;;;;;;;;;;
Erstbesucher;2;1;2;0;;;;;;;;;;
Connectet;;;;;;;;;;;;;;
     Persönlich (Kontaktdaten ausgetauscht);;;;;;;;;;;;;;
     Connect-Karte;;;;;;;;;;;;;;
Entscheidungen (Meldungen);;;;;;;;;;;;;;
     Gespräche geführt;;;;;;;;;;;;;;
     Davon Erstentscheidungen/Bekehrungen;;;;;;;;;;;;;;
Neues Testament gegeben;;;;;;;;;;;;;;
