"""Wir zählen, weil jeder zählt.""";6/18/23;7/2/23;7/16/23;8/13/23;9/10/23;9/24/23;10/8/23;10/22/23;11/5/23;12/3/23;;1/14/24;1/28/24;2/11/24;3/10/24;3/24/24;07.04.2024.;21.04.2024.;5/5/24;5/19/24;6/2/24;6/16/24;6/30/24;7/28/24;;9/8/24;9/22/24;10/6/24;;;;;;;
Moabit/Schöneberg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Teilnehmer gesamt;13;;14;15;15;7;9;6;9;8;;10;;10;8;0;14;14;12;13;7;17;7;9;;8;0;0;;;;;;;
     davon Kids*;6;0;6;7;7;4;5;3;5;4;;5;0;5;5;0;7;8;6;6;3;8;3;5;;5;0;0;;;;;;;
     Erstbesucher bei FF;8;0;2;2;1;0;0;0;0;0;;0;0;0;0;0;0;0;1;0;0;5;0;0;;0;0;0;;;;;;;
     Erstbesucher bei RL;0;0;0;2;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;;
     VIPs;2;0;0;1;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;;
Wilmersdorf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Teilnehmer gesamt;28;16;13;12;16;11;24;15;16;15;;17;13;15;12;20;14;27;26;17;16;11;13;12;;14;14;18;;;;;;;
    (davon Kids*);0;0;0;0;0;0;2;0;0;0;;0;0;0;1;0;0;2;3;4;3;3;1;0;;2;3;2;;;;;;;
     Erstbesucher bei FF;8;2;1;1;1;1;8;4;5;3;;3;2;5;5;7;3;3;8;2;1;0;1;7;;2;1;2;;;;;;;
     Erstbesucher bei RL;5;2;0;0;1;1;4;3;2;3;;2;2;1;0;2;0;2;3;2;1;0;0;2;;1;0;1;;;;;;;
     VIPs;4;0;0;1;0;0;0;4;0;2;;2;2;1;1;2;1;2;2;1;1;0;0;0;;2;1;1;;;;;;;
Mitte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Teilnehmer gesamt;13;12;11;9;12;6;8;8;10;7;;9;10;10;14;11;14;11;10;19;7;8;9;9;;0;9;6;;;;;;;
     (davon Kids*);0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;4;0;0;0;0;;0;0;0;;;;;;;
     Erstbesucher bei FF;4;2;4;2;3;0;4;0;2;0;;4;2;2;1;2;3;3;1;10;0;0;1;0;;0;2;0;;;;;;;
     Erstbesucher bei RL;2;2;1;2;0;0;3;0;2;0;;3;0;0;0;0;2;0;0;10;0;0;0;0;;0;2;0;;;;;;;
     VIPs;1;3;0;1;0;0;1;0;1;0;;0;0;0;2;2;2;1;1;2;0;0;0;0;;0;1;1;;;;;;;
Lichtenberg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Teilnehmer gesamt;9;4;12;6;;8;10;11;10;11;;13;10;13;11;7;5;9;12;7;6;4;14;3;;9;7;4;;;;;;;
     (davon Kids*);0;0;1;;;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;;
     Erstbesucher bei FF;2;0;5;2;;2;0;4;1;0;;5;1;1;3;0;1;1;2;0;1;0;5;0;;1;1;0;;;;;;;
     Erstbesucher bei RL;2;0;5;2;;1;0;2;0;0;;0;0;1;0;0;0;0;1;0;0;0;5;0;;0;1;0;;;;;;;
     VIPs;2;0;5;2;;1;1;0;0;0;;0;0;1;0;0;0;1;0;0;0;0;0;0;;1;0;0;;;;;;;
Tempelhof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Teilnehmer gesamt;;;;;;;;;;10;;7;8;8;5;6;11;13;8;11;17;18;8;5;;5;9;6;;;;;;;
     (davon Kids*);;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;;;;;;;
     Erstbesucher bei FF;;;;;;;;;;0;;0;1;1;1;1;1;3;1;4;7;3;0;1;;1;1;0;;;;;;;
     Erstbesucher bei RL;;;;;;;;;;0;;0;0;1;0;0;0;1;0;0;1;3;0;1;;1;1;0;;;;;;;
     VIPs;;;;;;;;;;0;;0;0;0;0;1;1;2;1;1;1;2;0;0;;1;0;0;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teilnehmer insgesamt:;63;32;50;42;43;32;51;40;45;51;;56;41;56;50;44;58;74;68;67;53;58;51;38;;36;39;34;;;;;;;
Davon Kids insgesamt:;6;0;7;7;7;4;7;3;5;4;;5;0;5;6;0;7;10;9;14;6;11;4;5;;7;4;2;;;;;;;
Erstbesucher bei F&F:;22;4;12;7;5;3;12;8;8;3;;12;6;9;10;10;8;10;13;16;9;8;7;8;;4;5;2;;;;;;;
Erstbesucher bei RL:;9;4;6;6;1;2;7;5;4;3;;5;2;3;2;4;2;4;5;4;2;3;5;3;;2;3;2;;;;;;;
VIPs insgesamt:;9;3;5;5;0;1;2;4;1;2;;2;2;2;3;5;4;6;4;4;2;2;0;0;;4;2;2;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*Kids: Bis 12 Jahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
