"""Wir zählen, weil jeder zählt.""";11.06.2023 (GRAND OPENING);6/25/23;7/9/23;8/20/23;9/3/23;9/17/23;10/1/23;10/15/23;10/29/23;11/12/23;11/26/23;12/10/23;12/17/23;;1/21/24;2/4/24;2/25/24;3/3/24;3/17/24;3/31/24;4/14/24;4/28/24;5/12/24;5/26/24;6/9/24;6/23/24;7/7/24;7/21/24;8/4/24;9/1/24;9/15/14;9/29/24;10/13/24;10/20/24;10/27/24;11/3/24;11/10/24;11/17/24;11/24/24;12/1/24;12/8/24;12/15/24;12/24/24;1/12/25;1/19/25;1/26/25;2/2/25;2/9/25;2/16/25;2/23/25;3/2/25;3/9/25;3/16/25;3/23/25;3/30/25;4/6/25;4/13/25;4/20/25;4/27/25;5/4/25;5/11/25;5/18/25;5/25/25;6/1/25;6/8/25;6/15/25;6/22/25;6/29/25;7/6/25;7/13/25;7/20/25;7/27/25;8/3/25;8/31/25;9/7/25;9/14/25;9/21/25;9/28/25;;;
Besucher gesamt inkl. Kids;204;61;67;81;46;62;55;75;72;75;43;63;113;;75;88;118;64;74;124;92;84;78;78;84;66;95;69;49;78;80;50;69;79;78;94;78;81;73;65;46;117;87;80;79;80;61;81;72;80;78;85;97;104;67;85;80;121;76;97;60;87;84;70;80;78;90;92;103;99;84;77;79;102;100;93;0;0;0;0;0
     Besucher Saal (ohne Kids Church);183;50;57;71;38;54;44;60;59;63;28;48;94;;64;79;110;55;66;111;75;73;67;70;74;53;83;60;45;57;65;41;57;67;67;81;68;67;59;57;39;101;87;70;67;67;56;71;60;69;65;70;85;94;67;73;70;110;70;80;46;75;73;60;67;67;78;80;90;84;65;68;70;90;83;81;;;;;
     Kids-Mitarbeiter (+Eltern in Kids Church);5;5;2;3;3;3;3;6;3;2;5;2;;;3;2;2;2;2;3;4;2;2;2;2;2;2;2;1;4;2;2;3;3;2;2;2;4;5;2;2;7;;2;4;2;2;4;3;3;2;3;2;3;0;2;2;5;2;5;3;2;2;2;4;4;4;2;3;2;3;2;2;2;5;2;;;;;
     Kids in Kids Church;16;6;8;7;5;5;8;9;10;10;10;13;19;;8;7;6;7;6;10;13;9;9;6;8;11;10;7;3;17;13;7;9;9;9;11;8;10;9;6;5;9;;8;8;11;3;6;9;8;11;12;10;7;0;10;8;6;4;12;11;10;9;8;9;7;8;10;10;13;10;7;7;10;12;10;;;;;
Erstbesucher;85;10;15;27;4;9;8;19;14;12;3;11;30;;19;16;41;7;14;32;8;7;7;6;7;5;12;7;5;6;14;2;10;5;6;11;7;12;6;6;1;34;23;8;5;2;5;6;2;8;4;4;18;9;4;;13;23;11;18;1;2;3;9;2;11;13;17;16;20;12;8;14;20;8;;;;;;
Connectet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Persönlich (Kontaktdaten ausgetauscht);;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;0;1;;4;0;0;0;1;1;0;5;1;3;3;2;1;1;5;10;3;1;1;1;1;0;0;3;3;2;2;1;0;2;5;0;3;;;;;;
     Connect-Karte;8;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;
Entscheidungen (Meldungen);4;0;4;8;3;;0;1;1;0;0;2;6;;4;3;3;3;3;12;7;8;5;4;2;5;16;5;3;0;2;1;5;0;1;3;4;1;3;1;0;0;1;1;2;2;2;1;0;0;2;1;2;1;0;1;0;3;0;2;0;2;0;1;0;0;1;1;2;7;0;3;1;0;1;;;;;;
     Gespräche geführt;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;2;2;2;0;1;1;2;0;1;1;2;1;3;0;0;0;1;0;2;2;2;1;0;0;1;0;1;1;0;1;0;2;0;1;0;1;0;1;0;0;0;1;0;7;0;3;1;0;1;;;;;;
     Davon Erstentscheidungen/Bekehrungen;;;;;2;;;1;;;;;;;;2;2;3;1;7;3;1;1;1;1;2;2;1;1;0;1;1;2;0;1;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1;0;2;0;1;0;0;0;0;0;0;0;1;0;7;0;0;1;0;0;;;;;;
Neues Testament gegeben;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;0;1;1;0;1;0;0;0;0;1;3;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;1;7;1;0;1;1;1;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;plus Sommerparty einige mehr (+ca 20-25);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus Personen, die erst zur Sommerparty kamen (ca. 10-15);;;;;;;;;;
